name1,name2,distance,foreced_redirection
Borno,Ekiti,1117.686,0
Borno,Kogi,956.151,0
Borno,Kano,641.543,0
Borno,Ebonyi,923.592,0
Borno,Oyo,1278.514,0
Borno,Federal Capital Territory,856.48,0
Borno,Cameroon,201.959,0
Borno,Chad,148.76,0
Borno,Niger,259.902,0
Adamawa,Kaduna,423.171,0
Adamawa,Akwa Ibom,740.535,0
Adamawa,Edo,673.908,0
Adamawa,Bayelsa,850.192,0
Adamawa,Yobe,263.511,0
Adamawa,Borno,393.6,0
Adamawa,Benue,378.775,0
Adamawa,Plateau,408.552,0
Adamawa,Rivers,773.637,0
Adamawa,Lagos,969.79,0
Adamawa,Zamfara,694.577,0
Adamawa,Delta,806.999,0
Adamawa,Nassarawa,411.839,0
Adamawa,Cross River,617.026,0
Adamawa,Kebbi,812.773,0
Adamawa,Ogun,1028.411,0
Adamawa,Abia,727.838,0
Adamawa,Gombe,135.248,0
Adamawa,Niger,648.086,0
Adamawa,Taraba,229.574,0
Adamawa,Kwara,813.899,0
Adamawa,Imo,722.469,0
Adamawa,Katsina,601.363,0
Adamawa,Ekiti,793.956,0
Adamawa,Kogi,612.472,0
Adamawa,Kano,492.457,0
Adamawa,Ebonyi,541.771,0
Adamawa,Oyo,955.689,0
Adamawa,Federal Capital Territory,552.231,0
Adamawa,Cameroon,208.092,0
Adamawa,Chad,512.183,0
Adamawa,Niger,467.833,0
Benue,Kaduna,284.458,0
Benue,Akwa Ibom,367.805,0
Benue,Edo,332.038,0
Benue,Bayelsa,471.422,0
Benue,Yobe,557.523,0
Benue,Borno,765.462,0
Benue,Adamawa,378.775,0
Benue,Plateau,280.351,0
Benue,Rivers,396.648,0
Benue,Lagos,626.32,0
Benue,Zamfara,639.059,0
Benue,Delta,433.195,0
Benue,Nassarawa,162.198,0
Benue,Cross River,238.261,0
Benue,Kebbi,675.278,0
Benue,Ogun,695.832,0
Benue,Abia,349.279,0
Benue,Gombe,335.992,0
Benue,Niger,447.206,0
Benue,Taraba,166.79,0
Benue,Kwara,548.631,0
Benue,Imo,345.305,0
Benue,Katsina,542.342,0
Benue,Ekiti,486.099,0
Benue,Kogi,296.201,0
Benue,Kano,523.168,0
Benue,Ebonyi,164.809,0
Benue,Oyo,636.111,0
Benue,Federal Capital Territory,328.903,0
Benue,Cameroon,586.857,0
Benue,Chad,867.169,0
Benue,Niger,770.855,0
Plateau,Kaduna,14.929,0
Plateau,Akwa Ibom,561.888,0
Plateau,Edo,344.474,0
Plateau,Bayelsa,606.233,0
Plateau,Yobe,437.051,0
Plateau,Borno,705.326,0
Plateau,Adamawa,408.552,0
Plateau,Benue,280.351,0
Plateau,Rivers,513.711,0
Plateau,Lagos,609.504,0
Plateau,Zamfara,362.239,0
Plateau,Delta,525.325,0
Plateau,Nassarawa,130.548,0
Plateau,Cross River,410.414,0
Plateau,Kebbi,428.222,0
Plateau,Ogun,653.659,0
Plateau,Abia,510.362,0
Plateau,Gombe,285.224,0
Plateau,Niger,239.628,0
Plateau,Taraba,229.046,0
Plateau,Kwara,410.508,0
Plateau,Imo,471.822,0
Plateau,Katsina,263.709,0
Plateau,Ekiti,412.458,0
Plateau,Kogi,266.263,0
Plateau,Kano,253.813,0
Plateau,Ebonyi,336.962,0
Plateau,Oyo,573.241,0
Plateau,Federal Capital Territory,151.813,0
Plateau,Cameroon,582.118,0
Plateau,Chad,763.742,0
Plateau,Niger,617.471,0
Rivers,Kaduna,505.184,0
Rivers,Akwa Ibom,150.823,0
Rivers,Edo,194.969,0
Rivers,Bayelsa,93.238,0
Rivers,Yobe,917.952,0
Rivers,Borno,1152.413,0
Rivers,Adamawa,773.637,0
Rivers,Benue,396.648,0
Rivers,Plateau,513.711,0
Rivers,Lagos,307.244,0
Rivers,Zamfara,754.224,0
Rivers,Delta,51.051,0
Rivers,Nassarawa,407.846,0
Rivers,Cross River,162.891,0
Rivers,Kebbi,690.546,0
Rivers,Ogun,389.73,0
Rivers,Abia,83.324,0
Rivers,Gombe,710.223,0
Rivers,Niger,480.3,0
Rivers,Taraba,549.54,0
Rivers,Kwara,426.1,0
Rivers,Imo,51.349,0
Rivers,Katsina,687.271,0
Rivers,Ekiti,308.418,0
Rivers,Kogi,266.918,0
Rivers,Kano,749.162,0
Rivers,Ebonyi,232.088,0
Rivers,Oyo,371.682,0
Rivers,Federal Capital Territory,418.884,0
Rivers,Cameroon,981.46,0
Rivers,Chad,1241.424,0
Rivers,Niger,1118.674,0
Lagos,Kaduna,595.919,0
Lagos,Akwa Ibom,455.359,0
Lagos,Edo,297.783,0
Lagos,Bayelsa,329.191,0
Lagos,Yobe,1046.555,0
Lagos,Borno,1311.45,0
Lagos,Adamawa,969.79,0
Lagos,Benue,626.32,0
Lagos,Plateau,609.504,0
Lagos,Rivers,307.244,0
Lagos,Zamfara,695.505,0
Lagos,Delta,256.783,0
Lagos,Nassarawa,559.269,0
Lagos,Cross River,438.746,0
Lagos,Kebbi,567.931,0
Lagos,Ogun,82.608,0
Lagos,Abia,390.364,0
Lagos,Gombe,873.588,0
Lagos,Niger,446.24,0
Lagos,Taraba,741.449,0
Lagos,Kwara,283.209,0
Lagos,Imo,340.025,0
Lagos,Katsina,666.433,0
Lagos,Ekiti,205.426,0
Lagos,Kogi,358.402,0
Lagos,Kano,777.4,0
Lagos,Ebonyi,476.453,0
Lagos,Oyo,102.155,0
Lagos,Federal Capital Territory,463.748,0
Lagos,Cameroon,1168.476,0
Lagos,Chad,1372.924,0
Lagos,Niger,1218.854,0
Zamfara,Kaduna,355.8,0
Zamfara,Akwa Ibom,851.628,0
Zamfara,Edo,559.326,0
Zamfara,Bayelsa,843.632,0
Zamfara,Yobe,579.034,0
Zamfara,Borno,850.008,0
Zamfara,Adamawa,694.577,0
Zamfara,Benue,639.059,0
Zamfara,Plateau,362.239,0
Zamfara,Rivers,754.224,0
Zamfara,Lagos,695.505,0
Zamfara,Delta,742.838,0
Zamfara,Nassarawa,479.036,0
Zamfara,Cross River,710.482,0
Zamfara,Kebbi,176.222,0
Zamfara,Ogun,697.056,0
Zamfara,Abia,784.267,0
Zamfara,Gombe,559.762,0
Zamfara,Niger,275.167,0
Zamfara,Taraba,578.613,0
Zamfara,Kwara,413.186,0
Zamfara,Imo,728.958,0
Zamfara,Katsina,99.85,0
Zamfara,Ekiti,504.093,0
Zamfara,Kogi,493.11,0
Zamfara,Kano,213.951,0
Zamfara,Ebonyi,654.319,0
Zamfara,Oyo,612.631,0
Zamfara,Federal Capital Territory,350.656,0
Zamfara,Cameroon,805.023,0
Zamfara,Chad,844.454,0
Zamfara,Niger,654.658,0
Delta,Kaduna,515.652,0
Delta,Akwa Ibom,199.269,0
Delta,Edo,189.72,0
Delta,Bayelsa,104.188,0
Delta,Yobe,940.12,0
Delta,Borno,1180.896,0
Delta,Adamawa,806.999,0
Delta,Benue,433.195,0
Delta,Plateau,525.325,0
Delta,Rivers,51.051,0
Delta,Lagos,256.783,0
Delta,Zamfara,742.838,0
Delta,Nassarawa,427.982,0
Delta,Cross River,206.224,0
Delta,Kebbi,668.195,0
Delta,Ogun,339.356,0
Delta,Abia,134.317,0
Delta,Gombe,737.168,0
Delta,Niger,467.69,0
Delta,Taraba,580.333,0
Delta,Kwara,394.928,0
Delta,Imo,94.275,0
Delta,Katsina,681.267,0
Delta,Ekiti,276.107,0
Delta,Kogi,267.238,0
Delta,Kano,752.331,0
Delta,Ebonyi,268.644,0
Delta,Oyo,324.701,0
Delta,Federal Capital Territory,418.164,0
Delta,Cameroon,1014.156,0
Delta,Chad,1265.511,0
Delta,Niger,1136.951,0
Nassarawa,Kaduna,130.307,0
Nassarawa,Akwa Ibom,437.879,0
Nassarawa,Edo,267.554,0
Nassarawa,Bayelsa,497.637,0
Nassarawa,Yobe,512.202,0
Nassarawa,Borno,760.269,0
Nassarawa,Adamawa,411.839,0
Nassarawa,Benue,162.198,0
Nassarawa,Plateau,130.548,0
Nassarawa,Rivers,407.846,0
Nassarawa,Lagos,559.269,0
Nassarawa,Zamfara,479.036,0
Nassarawa,Delta,427.982,0
Nassarawa,Cross River,286.769,0
Nassarawa,Kebbi,514.661,0
Nassarawa,Ogun,616.574,0
Nassarawa,Abia,392.345,0
Nassarawa,Gombe,316.993,0
Nassarawa,Niger,291.613,0
Nassarawa,Taraba,188.107,0
Nassarawa,Kwara,419.431,0
Nassarawa,Imo,361.566,0
Nassarawa,Katsina,384.028,0
Nassarawa,Ekiti,383.686,0
Nassarawa,Kogi,201.012,0
Nassarawa,Kano,384.083,0
Nassarawa,Ebonyi,209.93,0
Nassarawa,Oyo,544.572,0
Nassarawa,Federal Capital Territory,174.061,0
Nassarawa,Cameroon,609.306,0
Nassarawa,Chad,838.272,0
Nassarawa,Niger,710.832,0
Cross River,Kaduna,405.616,0
Cross River,Akwa Ibom,151.526,0
Cross River,Edo,199.425,0
Cross River,Bayelsa,233.167,0
Cross River,Yobe,779.945,0
Cross River,Borno,1001.718,0
Cross River,Adamawa,617.026,0
Cross River,Benue,238.261,0
Cross River,Plateau,410.414,0
Cross River,Rivers,162.891,0
Cross River,Lagos,438.746,0
Cross River,Zamfara,710.482,0
Cross River,Delta,206.224,0
Cross River,Nassarawa,286.769,0
Cross River,Kebbi,685.563,0
Cross River,Ogun,517.726,0
Cross River,Abia,112.387,0
Cross River,Gombe,564.547,0
Cross River,Niger,453.792,0
Cross River,Taraba,398.556,0
Cross River,Kwara,466.661,0
Cross River,Imo,112.58,0
Cross River,Katsina,628.757,0
Cross River,Ekiti,365.07,0
Cross River,Kogi,229.433,0
Cross River,Kano,661.375,0
Cross River,Ebonyi,80.457,0
Cross River,Oyo,478.681,0
Cross River,Federal Capital Territory,359.83,0
Cross River,Cameroon,825.114,0
Cross River,Chad,1098.0,0
Cross River,Niger,987.505,0
Kebbi,Kaduna,416.796,0
Kebbi,Akwa Ibom,810.568,0
Kebbi,Edo,504.08,0
Kebbi,Bayelsa,772.29,0
Kebbi,Yobe,735.084,0
Kebbi,Borno,1011.607,0
Kebbi,Adamawa,812.773,0
Kebbi,Benue,675.278,0
Kebbi,Plateau,428.222,0
Kebbi,Rivers,690.546,0
Kebbi,Lagos,567.931,0
Kebbi,Zamfara,176.222,0
Kebbi,Delta,668.195,0
Kebbi,Nassarawa,514.661,0
Kebbi,Cross River,685.563,0
Kebbi,Ogun,554.579,0
Kebbi,Abia,737.296,0
Kebbi,Gombe,678.379,0
Kebbi,Niger,235.612,0
Kebbi,Taraba,657.263,0
Kebbi,Kwara,289.653,0
Kebbi,Imo,676.368,0
Kebbi,Katsina,227.136,0
Kebbi,Ekiti,401.029,0
Kebbi,Kogi,456.188,0
Kebbi,Kano,370.164,0
Kebbi,Ebonyi,646.216,0
Kebbi,Oyo,474.861,0
Kebbi,Federal Capital Territory,349.268,0
Kebbi,Cameroon,947.677,0
Kebbi,Chad,1015.243,0
Kebbi,Niger,827.563,0
Ogun,Kaduna,639.465,0
Ogun,Akwa Ibom,537.96,0
Ogun,Edo,364.123,0
Ogun,Bayelsa,410.133,0
Ogun,Yobe,1089.091,0
Ogun,Borno,1358.803,0
Ogun,Adamawa,1028.411,0
Ogun,Benue,695.832,0
Ogun,Plateau,653.659,0
Ogun,Rivers,389.73,0
Ogun,Lagos,82.608,0
Ogun,Zamfara,697.056,0
Ogun,Delta,339.356,0
Ogun,Nassarawa,616.574,0
Ogun,Cross River,517.726,0
Ogun,Kebbi,554.579,0
Ogun,Abia,472.765,0
Ogun,Gombe,926.273,0
Ogun,Niger,467.312,0
Ogun,Taraba,802.108,0
Ogun,Kwara,286.854,0
Ogun,Imo,421.514,0
Ogun,Katsina,679.677,0
Ogun,Ekiti,241.215,0
Ogun,Kogi,416.313,0
Ogun,Kano,800.253,0
Ogun,Ebonyi,551.058,0
Ogun,Oyo,86.274,0
Ogun,Federal Capital Territory,503.653,0
Ogun,Cameroon,1223.383,0
Ogun,Chad,1413.189,0
Ogun,Niger,1252.682,0
Abia,Kaduna,503.954,0
Abia,Akwa Ibom,75.872,0
Abia,Edo,233.216,0
Abia,Bayelsa,124.201,0
Abia,Yobe,891.647,0
Abia,Borno,1113.814,0
Abia,Adamawa,727.838,0
Abia,Benue,349.279,0
Abia,Plateau,510.362,0
Abia,Rivers,83.324,0
Abia,Lagos,390.364,0
Abia,Zamfara,784.267,0
Abia,Delta,134.317,0
Abia,Nassarawa,392.345,0
Abia,Cross River,112.387,0
Abia,Kebbi,737.296,0
Abia,Ogun,472.765,0
Abia,Gombe,676.893,0
Abia,Niger,515.686,0
Abia,Taraba,510.875,0
Abia,Kwara,487.535,0
Abia,Imo,63.333,0
Abia,Katsina,709.707,0
Abia,Ekiti,373.278,0
Abia,Kogi,291.228,0
Abia,Kano,756.397,0
Abia,Ebonyi,192.277,0
Abia,Oyo,451.664,0
Abia,Federal Capital Territory,437.958,0
