name1,name2,distance,forced_redirection
Niger,Bayelsa,1208.098,0
Niger,Yobe,216.083,0
Niger,Borno,259.902,0
Niger,Adamawa,467.833,0
Niger,Benue,770.855,0
Niger,Zamfara,654.658,0
Niger,Nassarawa,710.832,0
Niger,Kebbi,827.563,0
Niger,Gombe,438.811,0
Niger,Taraba,605.719,0
Niger,Kwara,978.496,0
Niger,Katsina,610.851,0
Niger,Ekiti,1015.147,0
Niger,Kano,468.423,0
Niger,Federal Capital Territory,755.596,0
Niger,Cameroon,369.42,0
Niger,Chad,194.074,0
Niger,Niger,789.639,0
Taraba,Bayelsa,630.293,0
Taraba,Yobe,391.354,0
Taraba,Borno,603.595,0
Taraba,Adamawa,229.574,0
Taraba,Benue,166.79,0
Taraba,Zamfara,578.613,0
Taraba,Nassarawa,188.107,0
Taraba,Kebbi,657.263,0
Taraba,Gombe,169.217,0
Taraba,Niger,605.719,0
Taraba,Kwara,604.28,0
Taraba,Katsina,478.803,0
Taraba,Ekiti,571.568,0
Taraba,Kano,418.704,0
Taraba,Federal Capital Territory,347.928,0
Taraba,Cameroon,434.491,0
Taraba,Chad,701.075,0
Kwara,Akwa Ibom,563.378,0
Kwara,Bayelsa,498.286,0
Kwara,Yobe,830.125,0
Kwara,Adamawa,813.899,0
Kwara,Benue,548.631,0
Kwara,Zamfara,413.186,0
Kwara,Delta,394.928,0
Kwara,Nassarawa,419.431,0
Kwara,Kebbi,289.653,0
Kwara,Gombe,695.412,0
Kwara,Niger,978.496,0
Kwara,Taraba,604.28,0
Kwara,Katsina,393.081,0
Kwara,Ekiti,118.86,0
Kwara,Kano,517.819,0
Kwara,Federal Capital Territory,261.743,0
Kwara,Cameroon,992.609,0
Katsina,Akwa Ibom,773.934,0
Katsina,Bayelsa,778.847,0
Katsina,Yobe,507.96,0
Katsina,Borno,784.971,0
Katsina,Adamawa,601.363,0
Katsina,Benue,542.342,0
Katsina,Zamfara,99.85,0
Katsina,Nassarawa,384.028,0
Katsina,Kebbi,227.136,0
Katsina,Abia,709.707,0
Katsina,Gombe,466.139,0
Katsina,Niger,610.851,0
Katsina,Taraba,478.803,0
Katsina,Kwara,393.081,0
Katsina,Ekiti,465.416,0
Katsina,Kano,144.763,0
Katsina,Oyo,593.532,0
Katsina,Federal Capital Territory,271.763,0
Katsina,Cameroon,723.38,0
Katsina,Chad,794.258,0
Ekiti,Akwa Ibom,449.081,0
Ekiti,Bayelsa,379.432,0
Ekiti,Yobe,848.074,0
Ekiti,Adamawa,793.956,0
Ekiti,Benue,486.099,0
Ekiti,Lagos,205.426,0
Ekiti,Zamfara,504.093,0
Ekiti,Delta,276.107,0
Ekiti,Nassarawa,383.686,0
Ekiti,Kebbi,401.029,0
Ekiti,Gombe,687.277,0
Ekiti,Niger,1015.147,0
Ekiti,Taraba,571.568,0
Ekiti,Kwara,118.86,0
Ekiti,Katsina,465.416,0
Ekiti,Kano,572.238,0
Ekiti,Federal Capital Territory,262.673,0
Ekiti,Cameroon,985.221,0
Kogi,Akwa Ibom,360.168,0
Kogi,Bayelsa,359.516,0
Kogi,Yobe,697.867,0
Kogi,Borno,956.151,0
Kogi,Kebbi,456.188,0
Kogi,Gombe,515.715,0
Kogi,Cameroon,810.077,0
Kano,Akwa Ibom,812.239,0
Kano,Bayelsa,842.387,0
Kano,Yobe,366.668,0
Kano,Borno,641.543,0
Kano,Adamawa,492.457,0
Kano,Benue,523.168,0
Kano,Lagos,777.4,0
Kano,Zamfara,213.951,0
Kano,Nassarawa,384.083,0
Kano,Kebbi,370.164,0
Kano,Ogun,800.253,0
Kano,Abia,756.397,0
Kano,Gombe,360.62,0
Kano,Niger,468.423,0
Kano,Taraba,418.704,0
Kano,Kwara,517.819,0
Kano,Katsina,144.763,0
Kano,Ekiti,572.238,0
Kano,Oyo,714.141,0
Kano,Federal Capital Territory,335.293,0
Kano,Cameroon,591.335,0
Kano,Chad,649.88,0
Ebonyi,Borno,923.592,0
Oyo,Adamawa,955.689,0
Oyo,Nassarawa,544.572,0
Oyo,Gombe,849.579,0
Federal Capital Territory,Bayelsa,511.558,0
Federal Capital Territory,Yobe,585.446,0
Federal Capital Territory,Borno,856.48,0
Federal Capital Territory,Adamawa,552.231,0
Federal Capital Territory,Benue,328.903,0
Federal Capital Territory,Zamfara,350.656,0
